AcquirerName,TargetName,TransactionAnnouncementDate,PercentageOfSharesAcquired,AcquirerRegion,TargetRegion,PricePerShare,CurrencyCodeOfTransaction,DealPurpose,FormOfTransactionName,TransactionStatus,InitialPricePerShare,PremiumAsOn1DayPriorToAnnouncementDate,PremiumAsOn1WeekPriorToAnnouncementDate,PremiumAsOn4WeeksPriorToAnnouncementDate,AcquirerPublicStatus,TargetPublicStatus,AcquirerMidIndustry,TargetMidIndustry,AnalystEstimatedValue,RatioOfTransactionValueToNetIncome,RatioOfTransactionValueToCashFlow,RatioOfTransactionValueToSales,RatioOfRankvalueToNetIncome,RatioOfRankvalueToCashFlow,RatioOfRankvalueToSales,TransactionValueIncludingNetDebtOfTarget,TransactionEffectiveDate
['Beijing Fuxiang Future Technology Center LP'],['Beijing Jetsen Technology Co Ltd'],2021-09-23,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.613,CY,"['Expand presence in new/foreign markets', 'Strengthen operations']",Acquisition Of Partial Interest,Withdrawn,0.613,1969-12-31 23:59:59.999999985,1969-12-31 23:59:59.999999982,1969-12-31 23:59:59.999999981,Subsidiary,Public,IT Consulting & Services,Computers & Peripherals,,-12.464,21.99,3.493,-13.686,24.147,3.836,433.551,2021-09-23
['SOF-XI Legs Holdings Ltd'],['Australian Unity Office Fund'],2020-01-29,0,Americas,Asia Pacific Excluding Central Asia,2.015,AU,['Strengthen operations'],Merger,Withdrawn,2.015,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000003,Subsidiary,Public,Other Financials,REITs,,8.863,0.0,8.349,12.602,,11.872,429.735,2020-01-29
['Allied Concept Capital Ltd'],['VCREDIT Holdings Ltd'],2020-04-05,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.851,HK,['Other'],Acquisition Of Remaining Interest,Intent Withdrawn,0.851,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000015,Private,Public,Other Financials,Asset Management,,100.07,2.842,1.372,220.009,6.249,3.016,425.002,2020-04-05
['JELD-WEN Holding Inc'],['JELD-WEN Holding Inc'],2021-03-01,0,Americas,Americas,29.25,US,['Other'],Buyback,Withdrawn,29.25,1969-12-31 23:59:59.999999999,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000007,Public,Public,Home Furnishings,Home Furnishings,,578.822,158.807,12.516,590.093,161.899,12.759,423.4,2021-03-01
"[""Rede D'Or Sao Luiz SA""]",['Allianca Saude e Participacoes SA'],2021-08-15,0,Americas,Americas,2.192,BR,['Strengthen operations'],Merger,Withdrawn,2.192,1970-01-01 00:00:00.000000021,1970-01-01 00:00:00.000000014,1970-01-01 00:00:00.000000008,Public,Public,Hospitals,Healthcare Equipment & Supplies,,36.851,5.863,1.214,59.634,9.488,1.964,419.584,2021-08-15
['Seafox Operations BV'],['Gulf Marine Services PLC'],2020-04-26,0,Europe,"Africa, Middle East, or Central Asia",0.09,UAD,['Strengthen operations'],Merger,Withdrawn,0.07,1970-01-01 00:00:00.000000160,1970-01-01 00:00:00.000000140,1970-01-01 00:00:00.000000133,Private,Public,Transportation & Infrastructure,AUTOMOTIVE,,-0.355,0.592,0.28,-4.763,7.952,3.758,419.177,2020-04-26
['2869889 Ontario Inc'],['Petroteq Energy Inc'],2021-10-25,0,Americas,Americas,0.74,US,['Strengthen operations'],Merger,Withdrawn,0.74,,,,Subsidiary,Public,Alternative Energy Sources,Alternative Financial Investments,,-43.3,0.0,205.11,-43.929,-96.562,208.091,416.182,2021-10-25
['Guangxi Investment Group Co Ltd'],['Wangsu Science & Technology Co Ltd'],2019-06-06,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.737,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,1.737,1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000018,Private,Public,Other Financials,IT Consulting & Services,,41.668,25.468,4.514,39.137,23.921,4.24,507.119,2019-06-06
['Light & Wonder Inc'],['Sciplay Corp'],2021-07-15,0,Americas,Americas,17.018,US,"['Strengthen existing operations/expand presence in primary market', 'Increase shareholder value']",Acquisition Of Remaining Interest,Withdrawn,17.018,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000007,1969-12-31 23:59:59.999999999,Public,Public,IT Consulting & Services,Software,,15.342,13.115,3.608,13.222,11.303,3.109,414.951,2021-07-15
['Sammaan Capital Ltd'],['Lakshmi Vilas Bank Ltd'],2019-04-05,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.823,RE,"['Create synergies, eliminate duplicate services/operations', 'Strengthen existing operations/expand presence in primary market']",Merger,Withdrawn,1.823,1970-01-01 00:00:00.000000042,1970-01-01 00:00:00.000000077,1970-01-01 00:00:00.000000074,Public,Public,Brokerage,Banks,,-4.499,0.0,5.997,-4.499,-3.896,5.997,583.222,2019-04-05
['Tradeshift Holdings Inc'],['Basware Oy'],2018-11-16,0,Americas,Europe,54.595,EUR,['Acquire competitors technology/strategic assets'],Merger,Withdrawn,54.595,1970-01-01 00:00:00.000000107,1970-01-01 00:00:00.000000103,1970-01-01 00:00:00.000000097,Private,Public,Software,Software,,-125.394,0.0,4.79,-127.379,-228.794,4.866,800.468,2018-11-16
['Tus-Holdings Co Ltd'],['Tus Environmental Science and Technology Development Co Ltd'],2020-12-08,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.15,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,1.15,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,Private,Public,Non Residential,Water and Waste Management,,45.738,5.82,1.427,83.739,10.655,2.613,382.878,2020-12-08
['Investor Group'],['Sicit Group SpA'],2021-05-05,0,Europe,Europe,20.782,EUR,['Strengthen operations'],Merger,Withdrawn,20.782,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000016,1970-01-01 00:00:00.000000019,Private,Public,Other Financials,CHEMICALS,,38.541,13.006,5.124,36.336,12.262,4.831,380.103,2021-05-05
['Zhejiang Zheneng Electric Power Investment Hong Kong Ltd'],['Zheneng Jinjiang Environment Holding Co Ltd'],2020-10-12,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.575,CY,['General strategy to take advantage of sound investment opportunities'],Acquisition Of Remaining Interest,Intent Withdrawn,0.575,1970-01-01 00:00:00.000000044,1970-01-01 00:00:00.000000051,1970-01-01 00:00:00.000000035,Subsidiary,Public,Other Financials,Water and Waste Management,,35.694,4.845,1.411,79.22,10.752,3.132,374.724,2020-10-12
['Varde Partners Inc'],['Lilis Energy Inc'],2020-01-13,0,Americas,Americas,0.25,US,,Merger,Withdrawn,0.25,1969-12-31 23:59:59.999999960,1969-12-31 23:59:59.999999938,1970-01-01 00:00:00.000000078,Private,Public,Other Financials,Oil & Gas,,-0.084,1.603,0.365,-1.395,26.548,6.05,373.814,2020-01-13
['Trophi Fastighets Publ AB'],['LSTH HANDELSFASTIGHETER 4 AB'],2021-05-04,0,Europe,Europe,19.029,SKR,['Strengthen operations'],Merger,Withdrawn,19.029,1970-01-01 00:00:00.000000018,1970-01-01 00:00:00.000000020,1970-01-01 00:00:00.000000022,Subsidiary,Public,Non Residential,Non Residential,,97.877,0.0,28.93,184.17,,54.436,368.041,2021-05-04
['Dezhan Healthcare Co Ltd'],['Shandong Jincheng Pharmaceutical Group Co Ltd'],2019-09-26,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,3.702,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,3.702,1970-01-01 00:00:00.000000028,1970-01-01 00:00:00.000000022,1970-01-01 00:00:00.000000028,Public,Public,Pharmaceuticals,Pharmaceuticals,,22.707,13.883,3.734,22.117,13.522,3.637,364.623,2019-09-26
['Pacific Energy Ltd SPV'],['Pacific Energy Group Holdings Ltd'],2019-09-10,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.734,AU,"['Response to other bid/tender offer', 'General strategy to take advantage of sound investment opportunities']",Merger,Withdrawn,0.734,1970-01-01 00:00:00.000000048,1970-01-01 00:00:00.000000060,1970-01-01 00:00:00.000000065,Subsidiary,Public,Other Financials,Power,,18.749,6.993,3.809,21.41,7.985,4.35,360.549,2019-09-10
['Precision Drilling Corp'],['Trinidad Drilling Ltd'],2018-10-05,0,Americas,Americas,1.529,C,"['Create synergies, eliminate duplicate services/operations', 'Expand presence in new geographical regions']",Merger,Withdrawn,1.529,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000015,1970-01-01 00:00:00.000000007,Public,Public,Oil & Gas,Oil & Gas,,-1.005,3.754,0.907,-1.97,7.361,1.779,819.936,2018-10-05
['Investor Group'],['Guangdong Zhongnan Iron & Steel Co Ltd'],2020-07-23,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.592,CY,['Strengthen operations'],Acquisition Of Majority Interest,Withdrawn,0.592,1969-12-31 23:59:59.999999989,1969-12-31 23:59:59.999999995,1970-01-01 00:00:00.000000007,Private,Public,Other Financials,Metals & Mining,,7.634,4.004,0.419,9.159,4.804,0.502,357.204,2020-07-23
['Investor Group'],['Victory Giant Technology HuiZhou Co Ltd'],2020-05-19,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,2.497,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,2.497,1969-12-31 23:59:59.999999977,1969-12-31 23:59:59.999999976,1969-12-31 23:59:59.999999985,Private,Public,Other Financials,Electronics,,34.741,22.062,4.021,38.467,24.428,4.453,353.046,2020-05-19
['H.I.S. Co Ltd'],['Unizo Holdings Co Ltd'],2019-07-10,0,Japan,Japan,28.483,Y,"['Increase shareholder value', 'Other']",Acquisition Of Partial Interest,Withdrawn,28.483,1970-01-01 00:00:00.000000055,1970-01-01 00:00:00.000000060,1970-01-01 00:00:00.000000064,Public,Public,Travel Services,Non Residential,,10.5,3.9,1.989,51.635,19.178,9.781,391.915,2019-07-10
['Propertylink Group'],['Centuria Industrial Reit'],2018-09-13,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,2.179,AU,"['Create synergies, eliminate duplicate services/operations', 'Acquire competitors technology/strategic assets', 'General strategy to take advantage of sound investment opportunities']",Merger,Withdrawn,2.179,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000014,Public,Public,REITs,REITs,,7.634,0.0,9.021,11.748,,13.882,832.79,2018-09-13
['Frasers Group PLC'],['Debenhams PLC'],2019-03-22,0,Europe,Europe,0.066,STG,['Strengthen operations'],Merger,Withdrawn,0.066,1970-01-01 00:00:00.000000072,1970-01-01 00:00:00.000000051,1970-01-01 00:00:00.000000051,Public,Public,Other Retailing,Internet and Catalog Retailing,,-0.133,0.387,0.027,-0.832,2.41,0.168,505.42,2019-03-22
['Air Canada'],['Transat AT Inc'],2019-05-16,0,Americas,Americas,3.812,C,"['Strengthen existing operations/expand presence in primary market', 'Increase shareholder value']",Merger,Withdrawn,9.91,1969-12-31 23:59:59.999999948,1969-12-31 23:59:59.999999954,1969-12-31 23:59:59.999999995,Public,Public,Transportation & Infrastructure,Travel Services,,-0.791,8.971,0.096,-2.396,27.189,0.29,435.386,2019-05-16
['CHAB Office Pty Ltd'],['Australian Unity Office Fund'],2019-06-04,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,2.126,AU,['Strengthen operations'],Merger,Withdrawn,2.063,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000015,Subsidiary,Public,Other Financials,REITs,,11.042,0.0,8.401,15.425,,11.735,414.717,2019-06-04
['Nord Gold UK Societas'],['Cardinal Resources Pty Ltd'],2020-03-16,0,Europe,Asia Pacific Excluding Central Asia,0.791,AU,['Strengthen operations'],Merger,Withdrawn,0.345,1970-01-01 00:00:00.000000320,1970-01-01 00:00:00.000000213,1970-01-01 00:00:00.000000191,Private,Public,Metals & Mining,Metals & Mining,,,0.0,,,,,332.353,2020-03-16
['Genexine Inc'],['ToolGen Inc'],2019-06-19,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,65.365,WON,"['Create synergies, eliminate duplicate services/operations']",Merger,Withdrawn,65.365,1969-12-31 23:59:59.999999997,1970-01-01 00:00:00.000000001,1969-12-31 23:59:59.999999995,Public,Public,Professional Services,Professional Services,,-60.984,0.0,424.726,-57.015,-56.686,397.085,391.375,2019-06-19
['Investor Group'],['Alaska Communications Systems Group Inc'],2020-11-03,0,Americas,Americas,3.26,US,"['Increase shareholder value', 'General strategy to take advantage of sound investment opportunities']",Merger,Withdrawn,3.0,1970-01-01 00:00:00.000000070,1970-01-01 00:00:00.000000068,1970-01-01 00:00:00.000000066,Private,Public,Other Financials,Wireless,,19.113,2.857,0.783,33.386,4.99,1.368,323.577,2020-11-03
['Investor Group'],['E-House (China) Enterprise Holdings Ltd'],2021-04-28,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.966,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,0.966,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000002,Private,Public,Other Financials,Real Estate Management & Development,,29.679,10.864,1.619,28.859,10.563,1.574,320.785,2021-04-28
['McMillan Shakespeare Ltd'],['Fleetpartners Group Ltd'],2018-11-08,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,2.073,AU,"['Create synergies, eliminate duplicate services/operations', 'Strengthen operations', 'Increase shareholder value', 'Other', 'Allow to offer new products and services']",Merger,Withdrawn,2.073,1970-01-01 00:00:00.000000033,1970-01-01 00:00:00.000000035,1969-12-31 23:59:59.999999992,Public,Public,Professional Services,Credit Institutions,,14.648,2.279,1.201,14.648,2.279,1.201,662.731,2018-11-08
['Huachuang Securities Co Ltd'],['Pacific Securities Co Ltd'],2019-11-06,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.785,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,0.785,1970-01-01 00:00:00.000000063,1970-01-01 00:00:00.000000064,1970-01-01 00:00:00.000000059,Subsidiary,Public,Brokerage,Brokerage,,-52.226,0.0,14.703,-52.226,-68.823,14.703,313.949,2019-11-06
['Hillhouse Investment Management Ltd'],['Joincare Pharmaceutical Group Industry Co Ltd'],2020-07-13,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.833,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,1.833,1969-12-31 23:59:59.999999977,1969-12-31 23:59:59.999999984,1969-12-31 23:59:59.999999981,Subsidiary,Public,Alternative Financial Investments,Pharmaceuticals,,11.518,8.827,2.23,8.321,6.377,1.611,310.439,2020-07-13
['Network18 Media & Investments Ltd'],['TV18 Broadcast Ltd'],2020-02-17,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.37,RE,"['Create synergies, eliminate duplicate services/operations', 'Strengthen operations', 'Increase shareholder value', 'Other']",Acquisition Of Remaining Interest,Withdrawn,0.37,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,Public,Public,Broadcasting,Broadcasting,,18.421,12.864,0.912,24.367,17.015,1.206,310.113,2020-02-17
['BHP Group Ltd'],['Noront Resources Ltd'],2021-07-27,0,Asia Pacific Excluding Central Asia,Americas,0.606,C,['Strengthen operations'],Merger,Withdrawn,0.444,1970-01-01 00:00:00.000000212,1970-01-01 00:00:00.000000206,1970-01-01 00:00:00.000000188,Public,Public,Metals & Mining,Metals & Mining,,342.174,0.0,,381.55,-51.619,,308.657,2021-07-27
['Australian Pharmaceutical Industries Pty Ltd'],['Sigma Healthcare Ltd'],2018-12-14,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.496,AU,"['Create synergies, eliminate duplicate services/operations', 'Strengthen operations', 'Increase shareholder value', 'General strategy to take advantage of sound investment opportunities']",Merger,Withdrawn,0.496,1970-01-01 00:00:00.000000064,1970-01-01 00:00:00.000000050,1970-01-01 00:00:00.000000035,Public,Public,Other Retailing,Other Consumer Products,,17.599,9.416,0.175,21.939,11.738,0.218,586.649,2018-12-14
['Blue Ridge Bankshares Inc'],['FVCBankcorp Inc'],2021-07-14,0,Americas,Americas,20.72,US,"['Create synergies, eliminate duplicate services/operations', 'Strengthen existing operations/expand presence in primary market', 'Increase shareholder value']",Merger,Withdrawn,20.72,1970-01-01 00:00:00.000000020,1970-01-01 00:00:00.000000024,1970-01-01 00:00:00.000000016,Public,Public,Banks,Banks,,15.64,10.394,5.593,15.64,10.394,5.593,306.879,2021-07-14
['QIC Ltd'],['Superloop Ltd'],2019-05-03,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.365,AU,['General strategy to take advantage of sound investment opportunities'],Merger,Intent Withdrawn,1.365,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000014,1970-01-01 00:00:00.000000036,Private,Public,Asset Management,Wireless,,-145.689,22.634,3.799,-171.852,26.699,4.481,407.684,2019-05-03
['SS&C Technologies Holdings Inc'],['Apex Group Holdings (Australia) Pty Ltd'],2021-04-12,0,Americas,Asia Pacific Excluding Central Asia,2.135,AU,['Strengthen operations'],Merger,Withdrawn,1.547,1970-01-01 00:00:00.000000149,1970-01-01 00:00:00.000000155,1970-01-01 00:00:00.000000176,Public,Public,Software,Asset Management,,266.59,38.728,6.55,261.978,38.058,6.437,298.599,2021-04-12
['Hainan Development Holdings Co Ltd'],['Hainan Development Holdings Nanhai Co Ltd'],2020-09-19,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,2.007,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,2.007,1969-12-31 23:59:59.999999977,1970-01-01 00:00:00.000000000,1969-12-31 23:59:59.999999963,Private,Public,Building/Construction & Engineering,Construction Supplies & Fixtures,,86.01,37.488,2.836,93.731,40.853,3.091,295.53,2020-09-19
['Canaccord Genuity Group Inc'],['RF Capital Group Inc'],2021-03-15,0,Americas,Americas,1.844,C,"['Create synergies, eliminate duplicate services/operations', 'Strengthen existing operations/expand presence in primary market', 'Increase shareholder value']",Merger,Withdrawn,1.844,1970-01-01 00:00:00.000000030,1970-01-01 00:00:00.000000031,1970-01-01 00:00:00.000000026,Public,Public,Brokerage,Asset Management,,12.465,6.212,3.454,2.57,1.281,0.712,293.941,2021-03-15
['Contemporary Amperex Technology Co Ltd'],['Millennial Lithium Corp'],2021-09-28,0,Asia Pacific Excluding Central Asia,Americas,3.049,C,['Strengthen operations'],Merger,Withdrawn,3.049,1970-01-01 00:00:00.000000015,1970-01-01 00:00:00.000000034,1970-01-01 00:00:00.000000028,Public,Public,Other Energy & Power,Metals & Mining,,-21.878,0.0,,-19.388,-18.032,,282.172,2021-09-28
['Frasers Group PLC'],['Studio Retail Group PLC'],2019-03-04,0,Europe,Europe,2.126,STG,"['Strengthen operations', 'Allow to offer new products and services']",Merger,Withdrawn,2.126,1970-01-01 00:00:00.000000000,1969-12-31 23:59:59.999999989,1969-12-31 23:59:59.999999987,Public,Public,Other Retailing,Internet and Catalog Retailing,,5.191,2.955,0.289,14.094,8.024,0.785,431.193,2019-03-04
['Undisclosed Acquiror'],['American Virtual Cloud Technologies Inc'],2021-04-07,0,Unknown Region,Americas,9.0,US,['Strengthen operations'],Merger,Withdrawn,9.0,1970-01-01 00:00:00.000000049,1970-01-01 00:00:00.000000059,1970-01-01 00:00:00.000000044,Private,Public,Brokerage,IT Consulting & Services,,-6.952,0.0,6.544,-10.587,-18.515,9.966,270.749,2021-04-07
['Sichuan Port & Channel Development Group Co Ltd'],['Wuxi Huadong Heavy Machinery Co Ltd'],2020-08-03,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.025,CY,['General restructuring of business/operations'],Acquisition Of Partial Interest,Withdrawn,1.025,1970-01-01 00:00:00.000000000,1969-12-31 23:59:59.999999998,1970-01-01 00:00:00.000000012,Subsidiary,Public,Building/Construction & Engineering,Machinery,,23.052,16.48,0.557,25.374,18.14,0.613,268.505,2020-08-03
['Roc Equity Pvt Pty Ltd'],['Vitalharvest Freehold Trust'],2021-02-26,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.031,AU,"['Private Equity Buy and Build strategy.', 'Strengthen operations', 'General strategy to take advantage of sound investment opportunities']",Merger,Withdrawn,0.837,1970-01-01 00:00:00.000000069,1970-01-01 00:00:00.000000072,1970-01-01 00:00:00.000000070,Subsidiary,Public,Alternative Financial Investments,REITs,,19.925,15.912,12.943,28.023,22.379,18.204,268.295,2021-02-26
['Investor Group'],['Neway Valve Suzhou Co Ltd'],2020-09-29,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.739,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,1.999,1969-12-31 23:59:59.999999977,1969-12-31 23:59:59.999999976,1969-12-31 23:59:59.999999969,Private,Public,Other Financials,Other Industrials,,15.793,10.993,2.321,16.816,11.705,2.471,263.507,2020-09-29
['Ganfeng Lithium Group Co Ltd'],['Millennial Lithium Corp'],2021-07-16,0,Asia Pacific Excluding Central Asia,Americas,2.859,C,['Strengthen existing operations/expand presence in secondary market'],Merger,Withdrawn,2.859,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000025,1970-01-01 00:00:00.000000020,Public,Public,CHEMICALS,Metals & Mining,,-22.256,0.0,,-19.393,-17.895,,260.507,2021-07-16
['Investor Group'],['Chifeng Jilong Gold Mining Co Ltd'],2020-03-03,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.889,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,0.889,1969-12-31 23:59:59.999999972,1969-12-31 23:59:59.999999967,1970-01-01 00:00:00.000000007,Private,Public,Other Financials,Metals & Mining,,57.768,7.193,2.044,64.938,8.086,2.297,258.639,2020-03-03
['Investor Group'],['Peregrine Holdings Ltd'],2019-10-31,0,"Africa, Middle East, or Central Asia","Africa, Middle East, or Central Asia",1.271,SAR,['Strengthen operations'],Merger,Withdrawn,1.271,1970-01-01 00:00:00.000000021,1970-01-01 00:00:00.000000017,1970-01-01 00:00:00.000000023,Private,Public,Other Financials,Other Financials,,13.853,9.295,2.593,13.853,9.295,2.593,258.201,2019-10-31
['Investor Group'],['Hongrun Construction Group Co Ltd'],2021-05-26,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.78,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,0.78,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000014,1970-01-01 00:00:00.000000023,Private,Public,Other Financials,Transportation & Infrastructure,,10.131,9.318,0.482,11.609,10.678,0.552,257.41,2021-05-26
['Shandong Gold Mining Hong Kong Co Ltd'],['TMAC Resources Inc'],2020-05-08,0,Asia Pacific Excluding Central Asia,Americas,1.253,C,"['Increase shareholder value', 'General strategy to take advantage of sound investment opportunities']",Merger,Withdrawn,1.253,1969-12-31 23:59:59.999999959,1969-12-31 23:59:59.999999958,1969-12-31 23:59:59.999999951,Subsidiary,Public,Metals & Mining,Metals & Mining,,-0.316,2.356,0.817,-0.558,4.164,1.444,254.541,2020-05-08
['Guangxin Aluminium HK Ltd'],['Xingfa Aluminium Holdings Ltd'],2019-02-13,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.713,CY,['Strengthen operations'],Merger,Withdrawn,0.713,,,1970-01-01 00:00:00.000000009,Subsidiary,Public,Other Financials,Metals & Mining,,4.073,1.936,0.203,6.901,3.281,0.343,415.095,2019-02-13
['Obsidian Energy Ltd'],['Bonterra Energy Corp'],2020-08-31,0,Americas,Americas,0.809,C,"['Create synergies, eliminate duplicate services/operations', 'Strengthen existing operations/expand presence in primary market', 'Increase shareholder value']",Merger,Withdrawn,0.809,1969-12-31 23:59:59.999999971,1969-12-31 23:59:59.999999971,1969-12-31 23:59:59.999999969,Public,Public,Oil & Gas,Oil & Gas,,-0.121,0.464,0.238,-1.134,4.361,2.234,254.002,2020-08-31
['NexPoint Hospitality Trust Inc'],['Condor Hospitality Trust Inc'],2019-07-22,0,Americas,Americas,11.1,US,"['Strengthen existing operations/expand presence in primary market', 'Expand presence in new geographical regions', 'Allow to offer new products and services']",Merger,Withdrawn,11.1,1970-01-01 00:00:00.000000034,1970-01-01 00:00:00.000000028,1970-01-01 00:00:00.000000029,Private,Public,REITs,REITs,,612.347,7.663,2.112,1269.625,15.889,4.379,274.239,2019-07-22
['M&G Investment Management Ltd'],['UK Mortgages Ltd'],2020-07-20,0,Europe,Europe,0.912,STG,"['Strengthen existing operations/expand presence in primary market', 'Strengthen operations', 'Allow to offer new products and services']",Merger,Withdrawn,0.912,1970-01-01 00:00:00.000000026,1970-01-01 00:00:00.000000026,1970-01-01 00:00:00.000000043,Subsidiary,Public,Asset Management,Other Financials,,30.672,0.0,3.96,30.672,,3.96,249.101,2020-07-20
['Alceon Group Pty Ltd'],['Think Childcare Pty Ltd'],2020-11-16,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.325,AU,,Merger,Withdrawn,1.022,1970-01-01 00:00:00.000000040,1970-01-01 00:00:00.000000053,1970-01-01 00:00:00.000000083,Private,Public,Other Financials,Professional Services,,52.098,4.01,0.95,158.069,12.167,2.883,245.484,2020-11-16
['Saic Motor HK Investment Ltd'],['CAR Inc'],2020-07-02,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.4,CY,['Allow to offer new products and services'],Acquisition Of Partial Interest,Withdrawn,0.4,1970-01-01 00:00:00.000000033,1970-01-01 00:00:00.000000051,1970-01-01 00:00:00.000000046,Subsidiary,Public,Other Financials,Professional Services,,,0.0,,,,,245.341,2020-07-02
['Jiangxi Jinggangshan Beiyuan Venture Capital Management Co Ltd'],['CAR Inc'],2020-07-20,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.4,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,0.4,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000015,1970-01-01 00:00:00.000000055,Private,Public,Alternative Financial Investments,Professional Services,,-1.284,3.734,0.874,-1.284,3.734,0.874,245.221,2020-07-20
['Zhuhai Huafa Group Co Ltd'],['East Group Co Ltd'],2018-11-07,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.734,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,0.734,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000007,Private,Public,Other Real Estate,Semiconductors,,15.839,12.412,1.979,16.193,12.689,2.024,511.171,2018-11-07
['Key Energy Services Inc'],['Basic Energy Services Inc'],2018-09-24,0,Americas,Americas,9.946,US,"['Create synergies, eliminate duplicate services/operations', 'Strengthen existing operations/expand presence in primary market', 'Allow to offer new products and services']",Merger,Withdrawn,9.946,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000009,Public,Public,Oil & Gas,Oil & Gas,,-3.722,14.365,0.538,-7.933,30.615,1.147,559.973,2018-09-24
